ANIO_DENUNCIA;ANIO_HECHO;CAPTURA;CONDENA;DELITO;DEPARTAMENTO;GRUPO_EDAD_VICTIMA;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;MUNICIPIO;RUPTURA;TOTAL_VICTIMAS;Rural;DENSIDAD_POBLACIONAL
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 6, 7 Y 6 (SIC) DEL ART. 104. ART. 104B L.G Modificado Ley 2197 de 2022;Atlántico;ADOLESCENTE 14 - 17;NO;NO;BARRANQUILLA;NO;1;0;1224588
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Cauca;ADULTEZ 29 - 59;NO;NO;POPAYÁN;NO;1;0;320089
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;NO;NO;CARTAGENA;NO;1;0;987889
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;NO;NO;FLORIDABLANCA;NO;1;1;296324
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;IBAGUÉ;NO;1;0;532851
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;SI;ANORÍ;NO;1;1;17848
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;SI;MEDELLÍN;NO;1;0;2455072
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Archipiélago de San Andrés, Providencia y Santa Catalina;JUVENTUD 18 - 28;NO;SI;SAN ANDRÉS;NO;1;0;8816
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;NO;SI;SAN PABLO;NO;1;1;26559
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;JUVENTUD 18 - 28;SI;SI;VILLAPINZÓN;NO;1;1;16338
2018;2018;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;JUVENTUD 18 - 28;SI;SI;GRANADA;NO;1;1;10525
2018;2018;SI;NO;FEMINICIDIO ART. 104A C.P.;Caldas;JUVENTUD 18 - 28;SI;NO;MANIZALES;NO;1;0;437508
2018;2018;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;SI;RIOBLANCO;NO;1;1;22774
2018;2018;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;SI;SI;RIOBLANCO;NO;1;1;22774
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Amazonas;JUVENTUD 18 - 28;SI;SI;TARAPACÁ;NO;1;1;3685
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;SI;MEDELLÍN;NO;1;0;2455072
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;SI;SANTA BARBARA;NO;1;1;26628
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;SI;SI;MAGANGUÉ;NO;1;1;130501
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Caldas;JUVENTUD 18 - 28;SI;SI;MANIZALES;NO;1;0;437508
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;JUVENTUD 18 - 28;SI;SI;LA MESA;NO;1;1;30449
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Huila;JUVENTUD 18 - 28;SI;SI;RIVERA;NO;1;1;23740
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Norte de Santander;JUVENTUD 18 - 28;NO;SI;LOS PATIOS;NO;1;1;84240
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Quindío;ADULTEZ 29 - 59;SI;SI;ARMENIA;NO;1;0;297655
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Risaralda;ADULTEZ 29 - 59;SI;SI;DOSQUEBRADAS;NO;1;1;218993
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;SI;CANDELARIA;NO;1;1;15392
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;SI;CARTAGO;NO;1;1;134792
2018;2018;SI;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;PRE-ADOLESCENTE 12 - 13;SI;SI;CALI;NO;1;0;2235750
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;ADULTEZ 29 - 59;SI;NO;SOLEDAD;NO;1;1;620772
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;NO;NO;CARTAGENA;NO;1;0;987889
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;NO;NO;EL CARMEN DE BOLÍVAR;NO;1;1;69418
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;SI;NO;MARÍA LA BAJA;NO;1;1;44969
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;JUVENTUD 18 - 28;NO;NO;VILLAVICENCIO;NO;1;0;535328
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Sucre;ADULTEZ 29 - 59;NO;NO;COROZAL;NO;1;1;65990
2018;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;IBAGUÉ;NO;1;0;532851
2019;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2018;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;YUMBO;NO;1;1;105178
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADOLESCENTE 14 - 17;SI;NO;MEDELLÍN;NO;1;0;2455072
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;NO;MEDELLÍN;NO;1;0;2455072
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;NO;BELLO;NO;1;1;530371
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;NO;BELLO;NO;1;1;530371
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;NO;SABANETA;NO;1;1;78960
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;NO;NO;BELLO;NO;1;1;530371
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;NO;ITAGUI;NO;1;1;280273
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;NO;ITAGUI;NO;1;1;280273
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;SI;APARTADÓ;NO;1;1;116788
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;NO;ITAGUI;NO;1;1;280273
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;SI;NO;TURBO;NO;1;1;121168
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;ADULTEZ 29 - 59;NO;NO;BARRANQUILLA;NO;1;0;1224588
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;JUVENTUD 18 - 28;SI;NO;BARRANQUILLA;NO;1;0;1224588
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTO MAYOR DE 60;NO;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTO MAYOR DE 60;NO;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTO MAYOR DE 60;NO;SI;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;SI;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;SI;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INFANCIA 6 - 11;NO;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;NO;BOGOTÁ, D.C.;SI;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;NO;NO;ARJONA;NO;1;1;67741
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;SI;NO;CALAMAR;NO;1;1;21981
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;SI;NO;CARTAGENA;NO;1;0;987889
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ADULTEZ 29 - 59;SI;NO;MAGANGUÉ;NO;1;1;130501
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;NO;NO;CARTAGENA;NO;1;0;987889
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Caldas;ADULTEZ 29 - 59;NO;NO;MANIZALES;NO;1;0;437508
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Caquetá;ADULTEZ 29 - 59;NO;NO;EL DONCELLO;NO;1;1;19515
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Casanare;ADOLESCENTE 14 - 17;SI;NO;TRINIDAD;NO;1;1;12872
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADOLESCENTE 14 - 17;NO;NO;SILVIA;NO;1;1;36314
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADOLESCENTE 14 - 17;SI;NO;SILVIA;NO;1;1;36314
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;NO;NO;VILLA RICA;NO;1;1;20240
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;SI;NO;BOLÍVAR;NO;1;1;38909
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;SI;NO;LÓPEZ;NO;1;1;18357
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;JUVENTUD 18 - 28;NO;NO;PUERTO TEJADA;NO;1;1;41269
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;JUVENTUD 18 - 28;NO;NO;SANTANDER DE QUILICHAO;NO;1;1;108564
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ADULTEZ 29 - 59;NO;NO;SANTANDER DE QUILICHAO;NO;1;1;108564
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Chocó;ADULTEZ 29 - 59;NO;NO;QUIBDO;NO;1;0;127679
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Chocó;JUVENTUD 18 - 28;SI;NO;QUIBDO;NO;1;0;127679
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;JUVENTUD 18 - 28;NO;NO;MONTERÍA;NO;1;0;494945
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;ADULTEZ 29 - 59;SI;NO;MONTERÍA;NO;1;0;494945
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ADULTEZ 29 - 59;NO;NO;SOACHA;NO;1;1;684775
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cundinamarca;JUVENTUD 18 - 28;NO;NO;SOACHA;NO;1;1;684775
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ADULTEZ 29 - 59;NO;SI;SOACHA;NO;1;1;684775
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ADULTEZ 29 - 59;SI;NO;MEDINA;NO;1;1;7914
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Guaviare;ADULTEZ 29 - 59;NO;NO;SAN JOSÉ DEL GUAVIARE;NO;1;0;51030
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Guaviare;JUVENTUD 18 - 28;SI;NO;CALAMAR;NO;1;1;21981
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Guaviare;JUVENTUD 18 - 28;SI;NO;SAN JOSÉ DEL GUAVIARE;NO;1;0;51030
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Guaviare;PRIMERA INFANCIA 0 - 5;SI;NO;SAN JOSÉ DEL GUAVIARE;NO;1;0;51030
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Huila;ADULTEZ 29 - 59;NO;NO;NEIVA;NO;1;0;359332
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Huila;JUVENTUD 18 - 28;SI;NO;CAMPOALEGRE;NO;1;1;30854
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Huila;JUVENTUD 18 - 28;SI;NO;NEIVA;NO;1;0;359332
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ADULTEZ 29 - 59;NO;NO;SANTA MARTA;NO;1;0;509999
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;JUVENTUD 18 - 28;NO;NO;SANTA MARTA;NO;1;0;509999
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;JUVENTUD 18 - 28;SI;NO;ARIGUANÍ;NO;1;1;29547
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;PRIMERA INFANCIA 0 - 5;NO;NO;SANTA MARTA;NO;1;0;509999
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;JUVENTUD 18 - 28;SI;NO;PLATO;NO;1;1;59543
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ADULTEZ 29 - 59;NO;NO;MESETAS;NO;1;1;11051
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ADULTEZ 29 - 59;NO;NO;PUERTO LÓPEZ;NO;1;1;29803
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;JUVENTUD 18 - 28;NO;NO;VILLAVICENCIO;NO;1;0;535328
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;JUVENTUD 18 - 28;SI;NO;RESTREPO;NO;1;1;17762
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Nariño;JUVENTUD 18 - 28;NO;NO;LEIVA;NO;1;1;9777
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Nariño;JUVENTUD 18 - 28;SI;NO;MAGÜI;NO;1;1;23971
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Nariño;JUVENTUD 18 - 28;NO;SI;POLICARPA;NO;1;1;9888
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Nariño;ADULTEZ 29 - 59;SI;SI;POLICARPA;NO;1;1;9888
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Nariño;PRE-ADOLESCENTE 12 - 13;SI;NO;SAMANIEGO;NO;1;1;30429
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ADULTEZ 29 - 59;NO;NO;CÚCUTA;NO;1;0;730204
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ADULTEZ 29 - 59;NO;NO;LA ESPERANZA;NO;1;1;10648
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ADULTEZ 29 - 59;NO;SI;SILOS;NO;1;1;5939
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Putumayo;ADULTEZ 29 - 59;NO;NO;PUERTO ASÍS;NO;1;1;62928
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Risaralda;JUVENTUD 18 - 28;SI;NO;PEREIRA;NO;1;0;469876
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;NO;NO;BUCARAMANGA;NO;1;0;588404
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;NO;NO;SABANA DE TORRES;NO;1;1;32138
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;JUVENTUD 18 - 28;NO;NO;FLORIDABLANCA;NO;1;1;296324
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;JUVENTUD 18 - 28;SI;NO;LANDÁZURI;NO;1;1;10262
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;NO;NO;EL PEÑÓN;NO;1;1;7939
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ADULTEZ 29 - 59;SI;NO;SANTA HELENA DEL OPÓN;NO;1;1;3414
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;RONCESVALLES;NO;1;1;5471
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;SI;NO;PALOCABILDO;NO;1;1;9945
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;SI;IBAGUÉ;NO;1;0;532851
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;NO;IBAGUÉ;NO;1;0;532851
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;SI;NO;FLANDES;NO;1;1;28333
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;SI;NO;IBAGUÉ;NO;1;0;532851
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;BUENAVENTURA;NO;1;1;309358
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CANDELARIA;NO;1;1;15392
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTO MAYOR DE 60;NO;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTO MAYOR DE 60;SI;NO;LA VICTORIA;NO;1;1;1134
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;NO;NO;CARTAGO;NO;1;1;134792
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTEZ 29 - 59;SI;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ADULTO MAYOR DE 60;SI;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;NO;NO;PRADERA;NO;1;1;47201
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;JUVENTUD 18 - 28;SI;NO;CALI;NO;1;0;2235750
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Meta;ADULTEZ 29 - 59;NO;NO;PUERTO GAITÁN;NO;1;1;39844
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR AGRESION SEXUAL, FISICA O PSICOLOGICA. ART. 104B L.F;Antioquia;JUVENTUD 18 - 28;SI;NO;MEDELLÍN;NO;1;0;2455072
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR AGRESION SEXUAL, FISICA O PSICOLOGICA. ART. 104B L.F;Putumayo;JUVENTUD 18 - 28;NO;NO;MOCOA;NO;1;0;54177
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO POR COMETERSE EN PRESENCIA DE UNA PERSONA INTEGRANTE DE LA UNIDAD DOMESTICA. ART. 104B L.E;BOGOTÁ, D. C.;JUVENTUD 18 - 28;NO;SI;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;NO;COPACABANA;NO;1;1;75563
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;NO;NO;LA ESTRELLA;NO;1;1;69149
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Arauca;ADULTEZ 29 - 59;NO;NO;ARAUCA;NO;1;0;80720
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;NO;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ADULTEZ 29 - 59;NO;NO;FACATATIVÁ;NO;1;1;128492
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Putumayo;ADULTEZ 29 - 59;NO;NO;PUERTO ASÍS;NO;1;1;62928
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Sucre;ADULTO MAYOR DE 60;NO;NO;COROZAL;NO;1;1;65990
2019;2019;NO;NO;FEMINICIDIO ART. 104A C.P.;Sucre;JUVENTUD 18 - 28;NO;NO;COROZAL;NO;1;1;65990
2019;2019;NO;SI;FEMINICIDIO ART. 104A C.P.;Boyaca;ADULTEZ 29 - 59;SI;SI;DUITAMA;NO;1;1;119717
2019;2019;NO;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;JUVENTUD 18 - 28;SI;SI;SOACHA;NO;1;1;684775
2019;2019;NO;SI;FEMINICIDIO ART. 104A C.P.;Magdalena;ADULTEZ 29 - 59;SI;SI;SANTA ANA;NO;1;1;26147
2019;2019;NO;SI;FEMINICIDIO ART. 104A C.P.;Norte de Santander;ADULTEZ 29 - 59;SI;SI;EL TARRA;NO;1;1;18891
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADOLESCENTE 14 - 17;NO;NO;MEDELLÍN;NO;1;0;2455072
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;SI;YONDÓ;NO;1;1;18410
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;INFANCIA 6 - 11;SI;SI;BARRANQUILLA;NO;1;0;1224588
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADOLESCENTE 14 - 17;NO;SI;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;SI;SI;CARTAGENA;NO;1;0;987889
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Huila;JUVENTUD 18 - 28;NO;SI;CAMPOALEGRE;NO;1;1;30854
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Huila;JUVENTUD 18 - 28;SI;SI;CAMPOALEGRE;NO;1;1;30854
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Nariño;ADULTEZ 29 - 59;NO;SI;PASTO;NO;1;0;393041
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;ADULTEZ 29 - 59;NO;SI;IBAGUÉ;NO;1;0;532851
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;JUVENTUD 18 - 28;NO;SI;IBAGUÉ;NO;1;0;532851
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P.;Tolima;JUVENTUD 18 - 28;NO;SI;NATAGAIMA;NO;1;1;15165
2019;2019;SI;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Arauca;JUVENTUD 18 - 28;NO;SI;ARAUCA;NO;1;0;80720
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;ADULTEZ 29 - 59;NO;SI;EL BAGRE;NO;1;1;49988
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;JUVENTUD 18 - 28;SI;SI;SEGOVIA;NO;1;1;36879
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Arauca;ADULTEZ 29 - 59;SI;SI;TAME;NO;1;1;41286
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Archipiélago de San Andrés, Providencia y Santa Catalina;JUVENTUD 18 - 28;NO;SI;PROVIDENCIA;NO;1;1;5845
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Atlántico;ADULTEZ 29 - 59;SI;SI;SOLEDAD;NO;1;1;620772
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ADULTEZ 29 - 59;NO;SI;BOGOTÁ, D.C.;NO;1;0;7497976
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;NO;SI;CANTAGALLO;NO;1;1;7925
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Bolívar;JUVENTUD 18 - 28;SI;SI;CANTAGALLO;NO;1;1;7925
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Caldas;JUVENTUD 18 - 28;SI;SI;RISARALDA;NO;1;1;11016
2019;2019;SI;SI;FEMINICIDIO ART. 104A C.P.;Casanare;ADULTEZ 29 - 59;SI;SI;MANÍ;NO;1;1;16744
